account_rewards,date
-2138.1753496169113,2022-10-04
-6188.14642753615,2022-10-05
-14033.732447231421,2022-10-06
-2365.8288047255483,2022-10-07
-2360.318936195341,2022-10-10
-1658.0136630211491,2022-10-11
22326.026377342292,2022-10-12
-13974.651470855693,2022-10-13
18600.971152427606,2022-10-14
11866.362919036881,2022-10-17
-10335.655336380005,2022-10-18
-8726.987983703613,2022-10-19
28445.893199920654,2022-10-20
12330.222255706787,2022-10-21
15606.315782546997,2022-10-24
6464.64541053772,2022-10-25
12637.450847625732,2022-10-26
29592.57731819153,2022-10-27
-6357.842435836792,2022-10-28
-306.9752559661865,2022-10-31
-20815.341207504272,2022-11-01
-7789.1445026397705,2022-11-02
14982.295991897583,2022-11-03
10768.210960388184,2022-11-04
4223.816062927246,2022-11-07
-25622.960731506348,2022-11-08
49506.37154960632,2022-11-09
6034.286489486694,2022-11-10
-6497.91282081604,2022-11-11
7558.71067237854,2022-11-14
-2313.6006031036377,2022-11-15
-3090.713872909546,2022-11-16
4441.17982673645,2022-11-17
5270.0881271362305,2022-11-18
15950.457609176636,2022-11-21
1647.4117259979248,2022-11-22
4391.701940536499,2022-11-23
-19111.729110717773,2022-11-25
-952.7805118560791,2022-11-28
23616.433660507202,2022-11-29
-1255.8496227264404,2022-11-30
2075.3411045074463,2022-12-01
-20179.68884086609,2022-12-02
-13999.28539276123,2022-12-05
1439.000087738037,2022-12-06
7436.612335205078,2022-12-07
-7835.729564666748,2022-12-08
18745.770275115967,2022-12-09
6097.703081130981,2022-12-12
-1828.5730838775635,2022-12-13
-25077.055694580078,2022-12-14
-4504.321514129639,2022-12-15
-9988.714124679565,2022-12-16
2959.5523853302,2022-12-19
14470.642700195312,2022-12-20
-11608.727935791016,2022-12-21
6927.6835651397705,2022-12-22
1780.4224376678467,2022-12-23
-11642.165422439575,2022-12-27
13009.547576904297,2022-12-28
-3580.8695373535156,2022-12-29
406.6709632873535,2022-12-30
